date,pc1,STOXX50,MP_pm,CBI_pm,MP_median,CBI_median
2004-12-02,0.01347244,-0.346588745823784,0.01347244,0,0.01795384,-0.0044814
2005-01-13,-0.03395192,0.0242332812877777,-0.03395192,-0,-0.01776029,-0.01619163
2005-02-03,-0.00348149,-0.328877728129484,-0,-0.00348149,0.00890364,-0.01238513
2005-03-03,-0.00726395,0.169307953804854,-0.00726395,-0,-0.00911176,0.00184781
2005-04-07,-0.01368434,-0.313127566136373,-0,-0.01368434,0.00329245,-0.01697679
2005-05-04,0.00149382,0.255663487706315,0,0.00149382,-0.00752784,0.00902166
2005-06-02,0.01527954,-0.143928175912933,0.01527954,0,0.01229812,0.00298142
2005-07-07,0.01953558,0.933380773970072,0,0.01953558,-0.02044181,0.03997739
2005-08-04,0.00106603,-0.0524284318734303,0.00106603,0,0.0022299,-0.00116387
2005-09-01,-0.00476664,0.117994472816285,-0.00476664,-0,-0.0062023,0.00143566
2005-10-06,-0.0019073,0.196845205132767,-0.0019073,-0,-0.0073247,0.0054174
2005-11-03,-0.01059504,0.658218208543993,-0.01059504,-0,-0.02660127,0.01600623
2005-12-01,-0.02723806,0.468173717201736,-0.02723806,-0,-0.02877184,0.00153378
2006-01-12,-0.02263394,0.115551209822584,-0.02263394,-0,-0.01505688,-0.00757706
2006-02-02,-0.00859624,0.0344480510655387,-0.00859624,-0,-0.00541306,-0.00318318
2006-03-02,0.00851328,-0.543618066514107,0.00851328,0,0.02185127,-0.01333799
2006-04-06,-0.09148184,0.317085567836806,-0.09148184,-0,-0.05600364,-0.0354782
2006-05-04,-0.00214214,-0.0396690769093766,-0,-0.00214214,0.00021285,-0.00235499
2006-06-08,-0.04078122,0.590529580651022,-0.04078122,-0,-0.03950356,-0.00127766
2006-07-06,0.02027099,-0.12308403961736,0.02027099,0,0.01411921,0.00615178
2006-08-03,0.01769515,-0.00273188215764719,0.01769515,0,0.00893599,0.00875916
2006-08-31,0.0108734,-0.016254919115255,0.0108734,0,0.0059628,0.0049106
2006-10-05,-0.0001955,0.0946219063218123,-0.0001955,-0,-0.00316026,0.00296476
2006-11-02,-0.00551212,-0.900673254099615,-0,-0.00551212,0.02639494,-0.03190706
2006-12-07,0.01987294,0.697180658989183,0,0.01987294,-0.01262833,0.03250127
2007-01-11,-0.04214338,0.644947006706076,-0.04214338,-0,-0.04194591,-0.00019747
2007-02-08,0.00772553,-0.254627685623987,0.00772553,0,0.01210399,-0.00437846
2007-03-08,0.01008905,0.0854472550656737,0,0.01008905,0.00227896,0.00781009
2007-04-12,-0.00353761,-0.3214999202239,-0,-0.00353761,0.00863679,-0.0121744
2007-05-10,-0.00287801,-0.11738420423022,-0,-0.00287801,0.00236023,-0.00523824
2007-06-06,-0.00704441,-0.110733823750842,-0,-0.00704441,6.178e-05,-0.00710619
2007-07-05,0.00072101,-0.120659650220034,0.00072101,0,0.00426575,-0.00354474
2007-08-02,-0.00338156,-0.0510285526303278,-0,-0.00338156,-3.92e-05,-0.00334236
2007-09-06,-0.03869294,0.526312026752507,-0.03869294,-0,-0.03638097,-0.00231197
2007-10-04,-0.00197147,-0.0832170679183619,-0,-0.00197147,0.00170765,-0.00367912
2007-11-08,-0.02013258,-0.349102776992005,-0,-0.02013258,0.0012327,-0.02136528
2007-12-06,0.01960609,-0.381738081675564,0.01960609,0,0.0221583,-0.00255221
2008-01-10,-0.00179594,-0.295615027060769,-0,-0.00179594,0.00866984,-0.01046578
2008-02-07,-0.04963207,-0.605038240964717,-0,-0.04963207,-0.0052335,-0.04439857
2008-03-06,0.02950122,-0.564470604921574,0.02950122,0,0.03302015,-0.00351893
2008-04-10,0.00101828,0.0499747449866916,0,0.00101828,-0.00110833,0.00212661
2008-05-08,-0.01116613,-0.425319727903428,-0,-0.01116613,0.00818274,-0.01934887
2008-06-05,0.14553777,-0.433983633554824,0.14553777,0,0.08681511,0.05872266
2008-07-03,-0.08533995,1.35320062185773,-0.08533995,-0,-0.08646738,0.00112743
2008-08-07,-0.04146437,-0.637270002828849,-0,-0.04146437,-0.00010644,-0.04135793
2008-09-04,-0.00696114,-0.755483514443789,-0,-0.00696114,0.02097125,-0.02793239
2008-10-02,-0.05728933,-0.810760493031637,-0,-0.05728933,-0.00240376,-0.05488557
2008-11-06,0.20161858,-1.30428193491552,0.20161858,0,0.1430234,0.05859518
2008-12-04,0.05012639,-1.47784599256786,0.05012639,0,0.07289484,-0.02276845
2009-01-15,-0.02486044,-0.571526476159256,-0,-0.02486044,0.00606768,-0.03092812
2009-02-05,-0.05721418,-0.458091676403427,-0,-0.05721418,-0.01378059,-0.04343359
